Hán Tự,Pinyin,Nghĩa 1,Hán Việt,Nghĩa 2
简要,jiǎnyào,"giản yếu, tóm tắt",,
简陋,jiǎnlòu,"sơ sài, thô sơ",,
算,suàn,"coi là, tính là",,
算了,suànle,thôi bỏ đi,,
算数,suànshù,"chắc chăn, giữ lời",,
管子,guǎnzi,cái ống,,
管理,guǎnlǐ,quản lý,,
管用,guǎnyòng,"hữu hiệu, có tác dụng",,
管辖,guǎnxiá,quản hạt,,
箱子,xiāngzi,cái rương,,
篇,piān,chương,,
籍贯,jíguàn,quê quán,,
米,mǐ,"1. gạo, Mễ; 2. mét (đơn vị đo)",,
米饭,mǐfàn,cơm,,
类,lèi,"loại, loại hình",,
类似,lèisì,"tương tự, giống",,
粉末,fěnmò,"bụi, phấn, bột",,
粉碎,fěnsuì,"vỡ nát, nghiền, xay",,
粉色,fěnsè,fan hâm mộ,,
粒,lì,hạt,,
粗,cū,"thô, to",,
粗心,cūxīn,"sơ ý, không cẩn thận",,
粗浅,cūqiǎn,"thô thiển, nông cạn",,
粗鲁,cūlǔ,thô lỗ,,
粘贴,zhāntiē,dán,,
粥,zhōu,sinh đẻ và nuôi dưỡng; cháo,,
粮食,liángshí,lương thực,,
精力,jīnglì,"tinh lực, tinh thần và thể lực",,
精华,jīnghuá,tinh hoa,,
精密,jīngmì,"tinh vi, tỉ mỉ chính xác",,
精彩,jīngcǎi,"xuất sắc, ngoạn mục, tuyệt vời",,
精心,jīngxīn,"chăm chú, chuyên tâm",,
精打细算,jīngdǎxìsuàn,tính toán tỉ mỉ,,
精益求精,jīngyìqiújīng,đã tốt muốn tốt hơn,,
精确,jīngquè,"chính xác, chuẩn xác",,
精神,jīngshén,tinh thần,,
精简,jīngjiǎn,tinh giản,,
精致,jīngzhì,"tinh xảo, đẹp đẽ",,
精通,jīngtōng,tinh thông,,
糊涂,hútú,hồ đồ,,
糖,táng,đường,,
糖葫芦,tánghúlu,kẹo hồ lô,,
糟糕,zāogāo,tệ hại,,
糟蹋,zāotà,"lãng phí, làm nhục",,
系,xì,"hệ, khoa",,
系列,xìliè,dẫy; (hàng) loạt,,
系统,xìtǒng,hệ thống,,
系领带,xì lǐngdài,caravat,,
素质,sùzhì,tố chất,,
素食主义,sùshí zhǔyì,,,
索性,suǒxìng,dứt khoác,,
索赔,suǒpéi,bồi thường,,
紧,jǐn,"khẩn, gấp, chặt",,
紧密,jǐnmì,"chặt chẽ, liên hồi",,
紧张,jǐnzhāng,căng thẳng,,
紧急,jǐnjí,khẩn cấp,,
紧迫,jǐnpò,"bức bách, cấp bách",,
紫,zǐ,"tím, Tử",,
累,lèi,mệt,,
累 ,lèi ,mệt,,
繁体字,fántǐ zì,chữ phồn thể,,
繁华,fánhuá,phồn  hoa,,
繁忙,fánmáng,bộn bề,,
繁殖,fánzhí,"sinh sôi nẩy nở, sinh sôi",,
繁荣,fánróng,phồn vinh,,
纠正,jiūzhèng,"uốn nắn, sửa chữa",,
纠纷,jiūfēn,"tranh chấp, bất hòa",,
红,hóng,màu đỏ,,
红包,hóngbāo,lì xì đỏ,,
纤维,xiānwéi,sợi (sợi nhân tạo và sợi thiên nhiên),,
约会,yuēhuì,"cuộc hẹn, hẹn hò, hẹn gặp",,
约定,yuēdìng,"ước định, hẹn ước",,
约束,yuēshù,"ràng buộc, trói buộc",,
级别,jíbié,"cấp bậc, cấp",,
纪录,jìlù,kỉ lục,,
纪律,jìlǜ,kỉ luật,,
纪念,jìniàn,kỉ niệm,,
纪要,jìyào,kỷ yếu,,
纯洁,chúnjié,thuần khiết,,
纯粹,chúncuì,"thuần chất, đơn thuần",,
纲领,gānglǐng,cương lĩnh,,
纳闷儿,nàmèn er,"bồn chồn, bối rối",,
纵横,zònghéng,ngang dọc,,
纷纷,fēnfēn,"sôi nổi, ào ào",,
纺织,fǎngzhī,dệt vải,,
纽扣儿,niǔkòu er,"cúc áo, khuy áo",,
线索,xiànsuǒ,"đầu mối, manh mối",,
练习,liànxí,"luyện tập, bài tập",,
组,zǔ,"tổ, nhóm",,
组合,zǔhé,tổ hợp,,
组成,zǔchéng,"cấu thành, thành phần cấu tạo",,
组织,zǔzhī,tổ chức,,
绅士,shēnshì,thân sĩ,,
细胞,xìbāo,tế bào,,
细致,xìzhì,"tinh tế tỉ mỉ, kỹ càng chu đáo",,
细节,xìjié,tình tiết,,
细菌,xìjùn,"vi khuẩn, vi trùng",,
终于,zhōngyú,cuối cùng,,
终年,zhōngnián,suốt năm,,
终止,zhōngzhǐ,kết thúc; đình chỉ,,
终点,zhōngdiǎn,"điểm cuối, điểm kết thúc",,
终究,zhōngjiù,chung quy,,
终身,zhōngshēn,chung thân,,
经典,jīngdiǎn,kinh điển,,
经历,jīnglì,"trải qua, từng trải; những việc trải qua",,
经商,jīngshāng,"buôn bán, thương mại",,
经常,jīngcháng,thông thường,,
经济,jīngjì,kinh tế,,
经理,jīnglǐ,giám đốc,,
经纬,jīngwěi,kinh độ và vĩ độ,,
经营,jīngyíng,kinh doanh,,
经费,jīngfèi,"kinh phí, tiền chi tiêu",,
经过,jīngguò,"kinh qua, trải qua",,
经验,jīngyàn,kinh nghiệm,,
绑架,bǎngjià,"bắt cóc, lừa  mang đi",,
结合,jiéhé,kết hợp,,
结婚,jiéhūn,kết hôn,,
结实,jiēshi,"chắc, bền, khỏe mạnh",,
结局,jiéjú,kết cục,,
结晶,jiéjīng,kết tinh,,
结束,jiéshù,kết thúc,,
结构,jiégòu,kết cấu,,
结果,jiéguǒ,kết quả,,
结算,jiésuàn,kết toán,,
结论,jiélùn,kết luận,,
结账,jiézhàng,"kết khoản, ",,
绕,rào,"quấn, cuộn",,
绘画,huìhuà,hội họa,,
给,gěi,cho,,
给予,jǐyǔ,"cho, dành cho",,
络绎不绝,luòyì bù jué,không ngừng nghỉ,,
绝对,juéduì,tuyệt đối,,
绝望,juéwàng,tuyệt vọng,,
统一,tǒngyī,thống nhất,,
统治,tǒngzhì,thống trị,,
统筹兼顾,tǒngchóu jiāngù,,,
统统,tǒngtǒng,"tất cả, hết thảy",,
统计,tǒngjì,thống kê,,
绢,juàn,"lụa, lụa là",,
绣,xiù,"thêu (vải, lụa…) hàng thêu",,
继往开来,jìwǎngkāilái,"tiếp nối người trước, kế thừa cái trước",,
继承,jìchéng,"thừa kế, kế tục",,
继续,jìxù,tiếp tục,,
绳子,shéngzi,dây thừng,,
维修,wéixiū,giữ gìn sửa chửa,,
维护,wéihù,"duy hộ, duy trì và bảo hộ",,
维持,wéichí,duy trì,,
维生素,wéishēngsù,"vi sinh tố, vitamin",,
综合,zònghé,tổng hợp,,
绿,lǜ,màu xanh,,
缓,huǎn,"hoãn, hòa hoãn, trở lại bình thường",,
缓和,huǎnhé,"hòa dịu, xoa dịu",,
缓慢,huǎnmàn,"từ tốn, chầm chậm",,
缓解,huǎnjiě,"hòa dịu, làm giảm",,
编织 ,biānzhī ,"bện, đan, tết",,
编辑,biānjí,biên tập,,
缘故,yuángù,"duyên cố, duyên cớ, nguyên do",,
缠绕,chánrào,"quấn, quấn quanh",,
缩减,suōjiǎn,giảm bớt,,
缩小,suōxiǎo,giảm nhỏ,,
缩短,suōduǎn,thu ngắn,,
缴纳,jiǎonà,"giao nạp, giao nộp",,
缺乏,quēfá,thiếu kém,,
缺口,quēkǒu,"chỗ hổng, chỗ hở",,
缺少,quēshǎo,thiếu đi,,
缺席,quēxí,"vắng họp, nghỉ học",,
缺点,quēdiǎn,"khuyết điểm, điểm yếu",,
缺陷,quēxiàn,"chỗ thiếu hụt, chỗ thiếu sót",,
罐,guàn,"hộp, vại, lọ",,
罐头,guàntóu,đồ hộp,,
网上,wǎngshàng,trên mạng,,
网球,wǎngqiú,tennis,,
网站,wǎngzhàn,website,,
网络,wǎngluò,mạng,,
罕见,hǎnjiàn,hiếm thấy,,
罚款,fákuǎn,khoản phạt,,
罢,bà,ngừng; xong,,
罢工,bàgōng,bãi công,,
罪犯,zuìfàn,phạm tội,,
羊肉,yángròu,thịt dê,,
美,měi,"đẹp, Mỹ",,
美丽,měilì,"xinh đẹp, mỹ lệ",,
美味,měiwèi,mỹ vị,,
美好,měihǎo,"tốt đẹp, đẹp",,
美妙,měimiào,"mỹ miều, tuyệt vời",,
美容,měiróng,"mỹ dung, làm đẹp",,
美术,měishù,mỹ thuật,,
美满,měi mǎn,mỹ mãn,,
美观,měiguān,mỹ quan,,
羞耻,xiūchǐ,"nhục nhã, không có thể diện",,
羡慕,xiànmù,ngưỡng mộ,,
群,qún,"nhóm, bầy, đàn",,
群众,qúnzhòng,quần chúng,,
群体,qúntǐ,"quần thể, bầy đàn",,
羽毛球,yǔmáoqiú,cầu lông,,
羽绒服,yǔróngfú,,,
翅膀,chìbǎng,đôi cánh,,
翘,qiào,ngẩng đầu,,
翻,fān,"lật, đổ, trở mình",,
翻翻,fān fān,lật lật,,
翻译,fānyì,phiên dịch,,
翻译家,fānyì jiā,nhà phiên dịch,,
翼,yì,"cánh chim, cánh máy bay",,
耀眼,yàoyǎn,"chói mắt, lóa mắt",,
老,lǎo,"cũ, lão",,
老人,lǎorén,"người già, lão nhân",,
老实,lǎoshí,thành thật,,
老师,lǎoshī,"thầy cô giáo, lão sư",,
老板,lǎobǎn,ông chủ,,
老百姓,lǎobǎixìng,"nhân dân, dân thường, lão bách tánh",,
老虎,lǎohǔ,con hổ,,
老鼠,lǎoshǔ,con chuột,,
考,kǎo,"thi, khảo",,
考古,kǎogǔ,khảo cổ,,
考大学,kǎo dàxué,thi đại học,,
考察,kǎochá,khảo sát,,
考核,kǎohé,"sát hạch, khảo hạch",,
考虑,kǎolǜ,"xem xét, cân nhắc, đánh giá",,
考试,kǎoshì,thi cử,,
考验,kǎoyàn,"khảo nghiệm, thử thách",,
而,ér,"và, cũng, nhưng, chưa",,
而且,érqiě,"mà còn, hơn nữa",,
而已,éryǐ,"mà thôi, thế thôi",,
耍,shuǎ,"chơi, chơi đùa",,
耐心,nàixīn,"lòng nhẫn nại, kiên nhẫn",,
耐烦,nàifán,"bình tĩnh, kiên nhẫn",,
耐用,nàiyòng,bền,,
耕地,gēngdì,"cày ruộng, đất canh tác",,
耗费,hàofèi,"hao phí, tiêu hao",,
耳朵,ěrduǒ,tai,,
耳环,ěrhuán,bông tai,,
耸,sǒng,"đứng thẳng, gây sự chú ý",,
耽误,dānwù,"làm trễ, delay",,
聊天,liáotiān,"nói chuyện, tán gẫu",,
聋哑,lóng yǎ,câm và điếc',,
职业,zhíyè,"nghề nghiệp, nghề, chuyên ngành",,
职位,zhíwèi,chức vị,,
职务,zhíwù,chức vụ,,
职场,zhíchǎng,thị trường chức vụ,,
职能,zhínéng,"chức năng, công năng",,
联合,liánhé,liên hợp,,
联想,liánxiǎng,"liên tưởng, nghĩ đến",,
联欢,liánhuān,liên hoan,,
联盟,liánméng,liên minh,,
联系,liánxì,liên hệ,,
联络,liánluò,liên lạc,,
聚会,jùhuì,"tụ họp, gặp gỡ",,
聚精会神,jùjīnghuìshén,tập trung tinh thần,,
聪明,cōngmíng,thông minh,,
肆无忌惮,sìwújìdàn,"không kiêng nể gì cả, trắng trợn",,
肌肉,jīròu,cơ bắp,,
肖像,xiàoxiàng,chân dung,,
肚子,dùzi,"cái bụng, bao tử",,
股东,gǔdōng,cổ đông,,
股份,gǔfèn,cổ phần,,
股票,gǔpiào,cổ phiếu,,
肥沃,féiwò,"màu mỡ, phì nhiêu",,
肥皂,féizào,xà bông,,
肩膀,jiānbǎng,"vai, bờ vai",,
肯定,kěndìng,"khẳng định, chắc rằng, thừa nhận",,
肺,fèi,"phì, mỡ, phân",,
肿瘤,zhǒngliú,"u, bướu",,
胃,wèi,"vị, gan",,
胃口,wèikǒu,"ăn uống, khẩu vị, lòng ham muốn",,
胆小,dǎn xiǎo,gan nhỏ,,
胆小鬼,dǎnxiǎoguǐ,"nhát gan, quỷ nhát gan",,
胆怯,dǎnqiè,"nhát gan, nhút nhát",,
背,bèi,"lưng, Bối",,
背叛,bèipàn,"phản bội, chống lại",,
背景,bèijǐng,bối cảnh,,
背诵,bèisòng,đọc thuộc lòng,,
胖,pàng,mập,,
胖子,pàngzi,tên mập,,
胜利,shènglì,thắng lợi,,
胜负,shèng fù,"thắng bại, được thua",,
胡乱,húluàn,"qua loa, qua quýt",,
胡同,hútòng,"ngõ, hẻm",,
胡说,húshuō,"nói bậy, nói sằng",,
胡须,húxū,râu,,
胳膊,gēbó,cánh tay,,
胶水,jiāoshuǐ,"hồ, keo, keo dính cao su",,
胸,xiōng,"ngực, vú",,
胸怀,xiōnghuái,lòng dạ,,
胸膛,xiōngtáng,ngực,,
能,néng,"năng, có khả năng",,
能力,nénglì,năng lực,,
能干,nénggàn,"năng cán, tài giỏi",,
能源,néngyuán,năng lượng,,
能量,néngliàng,năng lượng,,
脂肪,zhīfáng,"chất béo, mỡ",,
脆弱,cuìruò,"yếu đuối, mỏng manh",,
脉搏,màibó,mạch đập,,
脏,zàng,dơ,,
脑,nǎo,não,,
脑袋,nǎodai,bộ não,,
脖子,bózi,cái cổ,,
脚,jiǎo,"bàn chân, chân",,
脚步,jiǎobù,bước chân,,
脱,tuō,"cởi, thoát",,
脱离,tuōlí,"thoát ly, tách rời",,
脸,liǎn,khuôn mặt,,
脾气,píqì,"tính khí, nóng nảy",,
腐朽,fǔxiǔ,"mục nát, hủ bại",,
腐烂,fǔlàn,"thối nát, sa đọa",,
腐蚀,fǔshí,"ăn mòn, mòn dần",,
腐败,fǔbài,"hủ bại, sa đọa",,
腥,xīng,"thịt sống, tanh",,
腮,sāi,quai hàm,,
腰,yāo,lưng eo,,
腹泻,fùxiè,tiêu chảy,,
腿,tuǐ,chân,,
膜,mó,"màng, mô",,
膝盖,xīgài,đầu gối,,
臂,bì,cánh tay,,
自主,zìzhǔ,tự chủ,,
自从,zìcóng,"từ khi, từ lúc",,
自信,zìxìn,tự tin,,
自力更生,zìlìgēngshēng,tự lực cánh sinh,,
自动,zìdòng,tự động,,
自助餐厅,zìzhù cāntīng,"nhà hàng tự phục vụ, buffet",,
自卑,zìbēi,tự ti,,
自发,zìfā,tự phát,,
自在,zìzài,tự tại,,
自备,zì bèi,tự trang bị,,
自己,zìjǐ,"tự,  bản thân, Tự Kỉ",,
自愿,zìyuàn,tự nguyện,,
自满,zìmǎn,tự mãn,,
自然,zìrán,tự nhiên,,
自由,zìyóu,tự do,,
自私,zìsī,"tự tư, ích kỉ",,
自行车,zìxíngchē,xe đạp,,
自觉,zìjué,tự giác,,
自豪,zìháo,tự hào,,
自造,zì zào,tự tạo,,
臭,chòu,hôi,,
至于,zhìyú,"đến nỗi, đến mức",,
至今,zhìjīn,đến nay,,
至少,zhìshǎo,ít nhất,,
致使,zhìshǐ,"khiến, khiến cho",,
致力于,zhìlì yú,dâng hết cho,,
致辞,zhìcí,"đọc diễn văn, đọc lời chào mừng",,
舅舅,jiùjiu,cậu (cậu chú,,
舆论,yúlùn,dư luận,,
舌头,shétou,cái lưỡi,,
舍不得,shěbudé,không nỡ,,
舒服,shūfú,thoải mái,,
舒畅,shūchàng,"khoan khoái, dễ chịu",,
舒适,shūshì,"dễ chịu, thoải mái",,
舔,tiǎn,liếm,,
舞蹈,wǔdǎo,"vũ đạo, điệu múa",,
舟,zhōu,thuyền,,
航天,hángtiān,hàng không vũ trụ,,
航班,hángbān,chuyến bay,,
航空,hángkōng,hàng không,,
航行,hángxíng,"đi, vận chuyển (bằng hàng không)",,
舰艇,jiàntǐng,"tàu chiến, chiến hạm",,
舱,cāng,"khoang, buồng",,
船,chuán,"thuyền, tàu",,
船舶,chuánbó,thuyền bè,,
艘,sōu,"chiếc, con (tàu, thuyền)",,
良好,liánghǎo,"lương hảo, tốt bụng",,
良心,liángxīn,lương tâm,,
艰巨,jiānjù,"gian cự, khó khăn",,
艰苦,jiānkǔ,gian khổ,,
艰难,jiānnán,gian nan,,
色,sè,sắc (màu sắc),,
色彩,sècǎi,"màu sắc, sắc thái",,
艺术,yìshù,nghệ thuật,,
节,jié,tiết (lễ); đoạn; khớp nối,,
节奏,jiézòu,tiết tấu,,
节日,jiérì,ngày lễ,,
节目,jiémù,tiết mục,,
节省,jiéshěng,tiết kiệm,,
节约,jiéyuē,tiết kiệm,,
节食,jiéshí,"tiết thực, nhịn ăn",,
花,huā,hoa,,
花园,huāyuán,"hoa viên, vườn hoa",,
花生,huāshēng,đậu phộng,,
花钱,huā qián,"tiêu tiền, xài tiền",,
苍白,cāngbái,"trắng xanh, yếu ớt",,
苏醒,sūxǐng,tỉnh lại,,
苗条,miáotiáo,thon thả,,
若干,ruògān,"bao nhiêu, một số",,
苦,kǔ,"khổ, đắng",,
苦尽甘来,kǔjìngānlái,khổ tận cam lai,,
英俊,yīngjùn,anh tuấn,,
英勇,yīngyǒng,anh dũng,,
英明,yīngmíng,anh minh,,
英雄,yīngxióng,anh hùng,,
苹果,píngguǒ,trái táo,,
茂盛,màoshèng,"tươi tốt, xanh tươi",,
范围,fànwéi,phạm vi,,
范畴,fànchóu,phạm trù,,
茎,jīng,"thân cây, cọng",,
茫然,mángrán,"mù mịt, chả biết gì",,
茫茫,mángmáng,"mênh mông, mù mịt",,
茶,chá,trà,,
草,cǎo,"thảo, cỏ",,
草原,cǎoyuán,thảo nguyên,,
草案,cǎo'àn,bản dự thảo,,
草率,cǎoshuài,"qua loa, đại khái",,
荒凉,huāngliáng,"hoang vắng, hoang vu, Hoang Lương",,
荒唐,huāngtáng,hoang đường,,
荒谬,huāngmiù,"sai lầm, vô lý",,
荣幸,róngxìng,vinh hạnh,,
荣誉,róngyù,vinh dự,,
荧屏,yíngpíng,màn huỳnh quang,,
药,yào,thuốc,,
莫名其妙,mòmíngqímiào,"mạc danh kỳ diệu, không hiểu ra sao cả, kỳ lạ",,
获得,huòdé,đạt được,,
菜,cài,món ăn,,
菜单,càidān,"thực đơn, menu",,
萌芽,méngyá,"nảy sinh, phát sinh",,
营业,yíngyè,doanh nghiệp,,
营养,yíngyǎng,dinh dưỡng,,
落后,luòhòu,lạc hậu,,
落实,luòshí,"chắc chắn, đầy đủ",,
落成,luòchéng,"khánh thành, hoàn thành",,
著作,zhùzuò,"sáng tác, tác phẩm",,
著名,zhùmíng,nổi danh,,
葡萄,pútáo,nho,,
董事长,dǒngshì zhǎng,chủ tịch,,
蒙,méng,"lừa gạt, mê mẩn",,
蒸发,zhēngfā,"hơi, hơi bốc  lên",,
蓝,lán,màu xanh,,
蔑视,mièshì,miệt thị,,
蔓延,mànyán,lan tràn,,
蔬菜,shūcài,rau cải,,
蕴藏,yùncáng,"chất chứa, chứa đựng",,
薄,báo,mỏng,,
薄弱,bóruò,bạc nhược,,
薪水,xīnshuǐ,tiền lương,,
虐待,nüèdài,ngược đãi,,
虚伪,xūwèi,"không thật, giả dối, đạo đức giả",,
虚假,xūjiǎ,"giả tạo, giả dối",,
虚心,xūxīn,khiêm tốn,,
虚荣,xūróng,hư vinh,,
虽然,suīrán,"tuy, tuy là, mặc dù",,
蚂蚁,mǎyǐ,con kiến,,
蛇,shé,rắn,,
蛋白质,dànbáizhí,Protein,,
蛋糕,dàngāo,bánh kem,,
蜜蜂,mìfēng,con ong,,
蜡烛,làzhú,cây  nến,,
蝴蝶,húdié,"bướm, hồ điệp",,
融,róng,"hòa, dung hòa",,
融化,rónghuà,"hòa tan, dung hóa",,
融洽,róngqià,"hòa hợp, hài hòa",,
螺丝钉,luósīdīng,đinh ốc vít,,
血,xuè,"huyết, máu",,
血压,xiěyā,huyết áp,,
行,xíng,HÀNH,,
行业,hángyè,ngành nghề,,
行为,xíngwéi,hành vi,,
行人,xíngrén,"hành nhân, người đi đường",,
行列,hángliè,hàng ngũ,,
行动,xíngdòng,hành động,,
行政,xíngzhèng,hành chính,,
行李,xínglǐ,hành lý,,
行李箱,xínglǐ xiāng,hành lý,,
行程,xíngchéng,hành trình,,
衔接,xiánjiē,"hàm tiếp, nối tiếp",,
街,jiē,"phố, đường phố",,
街头,jiētóu,đầu phố,,
街道,jiēdào,đường phố,,
衣服,yīfú,"áo quần, y phục",,
衣裳,yīshang,quần áo,,
补偿,bǔcháng,bồi thường,,
补充,bǔchōng,bổ sung,,
补救,bǔjiù,bổ cứu,,
补贴,bǔtiē,"phụ cấp, tiền trợ cấp",,
表,biǎo,1. biểu (bảng biểu); 2. đồng hồ (đeo tay),,
表决,biǎojué,biểu quyết,,
表彰,biǎozhāng,"khen ngợi, tuyên dượng",,
表态,biǎotài,biểu tỏ thái độ,,
表情,biǎoqíng,"biểu tình, thể hiện tình cảm",,
表扬,biǎoyáng,biểu dương,,
表明,biǎomíng,"biểu minh, thể hiện",,
表格,biǎogé,"biểu mẫu, bảng kê",,
表演,biǎoyǎn,biểu diễn,,
表现,biǎoxiàn,biểu hiện,,
表示,biǎoshì,biểu thị,,
表达,biǎodá,biểu đạt,,
表面,biǎomiàn,"biểu diện, bề mặt",,
衬衫,chènshān,áo sơ mi,,
衰老,shuāilǎo,già yếu,,
衰退,shuāituì,"suy yếu, suy tần",,
衷心,zhōngxīn,"chân thành, trung thành",,
袜子,wàzi,"vớ, tất",,
被,bèi,"bị, được",,
被动,bèidòng,bị động,,
被告,bèigào,bị cáo,,
被子,bèizi,cái gối,,
袭击,xíjí,"tập kích, đột kích",,
裁判,cáipàn,"phán định, trọng tài",,
裁员,cáiyuán,"giảm biên chế, cắt giảm nhân sự",,
裁缝,cáiféng,"may, may vá",,
装,zhuāng,trang,,
装卸,zhuāngxiè,"dỡ hàng, lắp rắp",,
装备,zhuāngbèi,trang bị,,
装成,zhuāng chéng,"giả thành, ngụy trang thành",,
装饰,zhuāngshì,trang sức,,
裙子,qúnzi,cái váy,,
裤子,kùzi,cái quần,,
西,xī,TÂY,,
西安,xī'ān,Tây An (thành phố),,
西瓜,xīguā,trái dưa hấu,,
西红柿,xīhóngshì,trái cà chua,,
要,yào,"cần, phải",,
要不,yào bù,"nếu không, nếu không thì",,
要不然,yào bùrán,nếu không thì,,
要不要,yào bùyào,có muốn (không),,
要命,yàomìng,"chết người, mất mạng, cực kỳ",,
要是,yàoshi,nếu như,,
要求,yāoqiú,yêu cầu,,
要点,yàodiǎn,"yếu điểm, nội dung chủ yếu",,
要素,yàosù,yếu tố,,
覆盖,fùgài,che; phủ,,
见,jiàn,thấy,,
见义勇为,jiànyìyǒngwéi,"kiến nghĩa dũng vi, thấy việc nghĩa hăng hái làm",,
见多识广,jiàn duō shì guǎng,thấy nhiều biết rộng,,
见解,jiànjiě,"kiến giải, quan niệm",,
见过,jiànguò,thấy qua,,
见闻,jiànwén,hiểu biết,,
见面,jiànmiàn,gặp mặt,,
观众,guānzhòng,"khán giả, người xem",quan chúng,
观光,guānguāng,"tham quan, du lịch",,
观察,guānchá,quan sát,,
观念,guānniàn,quan niệm,,
观点,guāndiǎn,quan điểm,,
规划,guīhuà,quy hoạch,,
规则,guīzé,quy tắc,,
规定,guīdìng,quy định,,
规律,guīlǜ,quy luật,,
规格,guīgé,quy cách,,
规模,guīmó,quy mô,,
规矩,guījǔ,quy cũ,,
规章,guīzhāng,quy chương,,
规范,guīfàn,quy phạm,,
视力,shìlì,thị lực,,
视线,shìxiàn,"đường nhìn, tầm mắt",,
视野,shìyě,"phạm vi nhìn, tầm nhìn",,
觉得,juédé,cảm thấy,,
觉悟,juéwù,"giác ngộ, tỉnh ngộ",,
觉醒,juéxǐng,giác tỉnh,,
角,jiǎo,hào (đơn vị tiền tệ); ,Giác,
角度,jiǎodù,"giác độ, góc độ",,
角色,juésè,"vai, nhân vật",,
角落,jiǎoluò,"góc, xó xỉnh, nơi hẻo lánh",,
解体,jiětǐ,giải thể,,
解决,jiějué,giải quyết,,
解剖,jiěpōu,giải phẫu,,
解放,jiěfàng,giải phóng,,
解散,jiěsàn,giải tán,,
解说员,jiěshuō yuán,"giải thuyết viên, BLV",,
解释,jiěshì,giải thích,,
解除,jiěchú,giải trừ,,
解雇,jiěgù,"đuổi việc, sa thải",,
触犯,chùfàn,mạo phạm,,
言论,yánlùn,ngôn luận,,
警告,jǐnggào,cảnh cáo,,
警察,jǐngchá,cảnh sát,,
警惕,jǐngtì,cảnh giác,,
譬如,pìrú,"ví như, tỉ như",,
计划,jìhuà,kế hoạch,,
计算,jìsuàn,"tính toán, kế toán",,
计较,jìjiào,"tính toán, so bì",,
认为,rènwéi,cho rằng,,
认可,rènkě,"cho phép, đồng ý",,
认定,rèndìng,nhận định,,
认真,rènzhēn,"nghiêm túc, chăm chỉ",,
认识,rènshì,"nhận thức, quen biết",nhận thức,
